post_id,user_id,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
s4kwr,25368,342,14.39,13.32,97.45,17.3,17.1,13.16,93.86,58.77,18.71,13.74,11.7,0.88,0.58,0.29,0.29,4.97,2.92,12.57,12.87,7.02,9.65,2.63,21.05,6.73,2.63,0.58,1.46,4.09,9.36,4.39,4.97,1.46,0.58,1.17,7.02,0.58,0.58,0.29,0.58,13.74,1.75,0.88,3.22,2.63,2.34,4.97,1.46,0.29,0.58,0.58,3.8,0.88,2.34,0.29,0,8.19,2.34,1.17,3.22,1.75,0.29,5.85,13.45,1.17,17.84,1.75,7.02,8.77,0.29,0,0.88,0,0.29,1.17,1.46,0.29,0,0.29,0.88,0,23.98,6.73,4.39,1.75,0.29,0.29,0.58,0.88,0,4.09,0.29,4.68
2kcsaw,25479,274,8.03,20.07,79.35,79.11,39.14,13.14,97.81,62.41,25.55,18.98,12.41,0.73,0,5.47,0.36,6.57,2.92,11.31,10.22,7.66,8.03,2.92,23.36,5.47,4.38,1.46,1.46,2.92,7.3,5.11,2.19,0.36,0,1.46,12.77,1.09,0,4.74,1.46,22.63,6.57,2.55,4.01,5.11,2.19,6.57,2.55,0.36,0.36,1.82,1.09,0,0.73,0,0,8.76,3.65,2.19,1.09,1.46,1.09,3.65,16.06,0.36,9.85,1.09,3.28,5.11,1.09,0,0,0.36,0,0.73,0,0,0,0,0,0,13.5,3.28,5.11,0,0,0,0,0,0,5.11,0,0
1owa3i,25499,311,38.91,4.75,96.83,1,20.73,14.15,96.78,63.02,17.04,10.93,9.97,0,0,0.64,0.32,6.11,7.07,14.79,9.65,9.32,7.07,3.22,19.94,7.72,4.82,0.96,0,3.22,7.72,1.61,6.11,1.93,1.29,0.96,2.89,0.32,0.96,0.64,0.32,15.43,2.89,2.89,1.93,4.18,0.96,5.14,0.96,0,0,0.64,4.5,0,3.86,0.64,0,8.36,0.96,1.93,2.57,2.89,0.96,1.61,17.04,0.96,16.72,2.25,9.97,5.14,1.61,0,0.96,0.32,0.32,0.32,1.93,1.29,0.32,0,0.32,0,17.36,5.79,3.86,0,0,0.64,0,0.64,0,5.79,0.64,0
2aksq4,25499,286,10.44,4.03,95.94,6.39,26,8.74,97.55,65.03,22.73,14.34,13.99,0,0,0,0.35,8.39,4.55,14.34,13.99,8.04,9.44,2.8,22.03,4.55,2.1,1.75,0.7,1.75,4.55,1.4,3.15,1.05,0.35,1.05,5.24,1.75,0.7,0.35,0,16.78,3.5,1.4,4.2,3.15,2.1,5.59,1.75,0.35,0,1.4,3.15,0.7,2.45,0,1.05,5.59,2.8,0.7,1.05,1.75,0,1.4,18.88,0.7,12.59,1.05,6.64,5.24,0.35,1.05,1.4,0,0,1.05,1.05,0.35,0,0,0.7,0,19.58,6.29,5.94,0,0,0,0,0.7,0,6.64,0,0
2pyi6f,25499,323,42.3,13.92,92.68,2.06,29.36,18.27,94.12,59.44,20.12,12.38,11.76,0,0,0.62,0,7.74,3.41,18.27,9.29,6.19,7.43,1.86,18.89,1.24,0.93,2.17,2.48,1.55,5.26,1.24,4.02,1.24,0,1.55,5.26,1.55,0,1.24,0.31,14.55,2.48,1.55,2.48,3.72,2.48,2.48,1.24,0.62,0,0.31,3.1,0.31,2.48,0,0,5.26,1.24,2.48,0.31,0.62,0.62,1.24,14.86,2.79,16.1,1.24,5.26,9.29,2.17,0.62,0.62,0.31,0.62,1.24,0.31,0,0.31,0,0,0,18.89,4.64,7.12,0,0,0,0,0.31,0,5.57,1.24,0
2gfayl,25502,13,9.98,77.92,17.46,1,13,23.08,92.31,53.85,7.69,0,0,0,0,0,0,7.69,0,7.69,15.38,0,23.08,0,23.08,7.69,0,0,0,0,23.08,0,23.08,7.69,0,7.69,7.69,0,0,0,0,15.38,7.69,0,0,7.69,0,0,7.69,0,0,7.69,0,0,0,0,0,15.38,0,15.38,15.38,0,7.69,7.69,7.69,7.69,7.69,0,0,7.69,7.69,0,0,0,0,7.69,0,0,0,0,0,0,7.69,0,0,0,0,7.69,0,0,0,0,0,0
2glj07,25502,1,92.84,50,1,25.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,200
2fsmof,25865,88,79.25,18.16,96.4,3.73,12.57,18.18,88.64,56.82,18.18,17.05,13.64,0,1.14,1.14,1.14,1.14,10.23,18.18,10.23,4.55,3.41,1.14,18.18,6.82,5.68,0,2.27,4.55,4.55,1.14,3.41,1.14,0,0,5.68,0,1.14,0,1.14,11.36,3.41,0,0,4.55,2.27,1.14,2.27,0,0,1.14,2.27,2.27,0,0,0,3.41,1.14,0,1.14,0,1.14,3.41,9.09,2.27,14.77,2.27,6.82,5.68,0,1.14,1.14,0,0,0,0,0,0,0,0,0,21.59,5.68,4.55,0,0,0,1.14,1.14,0,6.82,2.27,0
2ie5c2,25865,71,4.91,38.9,50.85,77.59,11.83,18.31,95.77,61.97,28.17,19.72,15.49,0,0,4.23,0,8.45,1.41,9.86,8.45,9.86,7.04,1.41,18.31,7.04,4.23,0,0,1.41,11.27,7.04,4.23,0,0,1.41,19.72,5.63,1.41,2.82,4.23,22.54,1.41,4.23,2.82,2.82,5.63,5.63,2.82,1.41,0,1.41,5.63,0,2.82,0,0,7.04,5.63,1.41,0,1.41,0,4.23,15.49,0,5.63,0,2.82,4.23,0,0,0,0,0,0,0,0,0,0,0,0,18.31,8.45,4.23,0,0,0,0,0,0,2.82,0,2.82
1shg8q,20019,218,14.49,11.66,98.38,33.69,11.47,12.84,91.74,58.26,28.9,21.56,18.81,0,0,1.83,0.92,7.34,3.67,11.47,8.72,6.42,5.5,0.92,21.1,4.13,1.83,2.75,0,1.83,9.63,5.05,4.59,0.46,0.92,0.92,10.55,0,0.46,0.92,1.83,19.27,4.59,2.29,2.29,3.67,5.05,2.29,6.88,4.13,0.92,1.83,0.46,0.46,0,0,0,5.05,0.92,0.46,2.29,1.38,0.92,0.92,17.43,0.92,12.39,0,6.42,5.5,0.46,0.46,0,0,0,0.92,0.92,0.46,0,0.46,0,0,19.72,11.47,3.67,0,0,0,0,0,0.92,3.67,0,0
2jupaf,20127,313,53.8,19.43,92.66,12.93,16.47,15.65,94.57,56.23,17.57,10.22,9.9,0,0.32,0,0,7.35,7.67,13.74,8.95,5.75,5.43,2.88,19.17,5.43,2.24,1.92,1.28,2.56,6.39,2.56,3.51,0.64,0.32,1.28,7.03,0.32,1.28,0,0.96,15.02,4.15,1.6,2.24,3.83,1.92,3.19,1.92,1.28,0,0.64,1.6,0.32,1.28,0,0,7.99,1.6,1.28,2.88,1.28,1.6,1.92,16.61,1.28,14.7,2.56,8.31,4.47,2.24,1.28,0.32,0,1.28,0,0,0,0,0,0,0,13.42,7.03,1.92,0,0,0.32,0.32,0,0,3.19,0.64,0
372bo9,20211,96,16.07,41.76,48.89,4.56,16,13.54,92.71,54.17,13.54,9.38,5.21,0,4.17,0,0,4.17,4.17,11.46,14.58,9.38,9.38,3.12,21.88,8.33,3.12,1.04,1.04,6.25,10.42,4.17,6.25,0,3.12,0,8.33,0,0,0,0,13.54,1.04,4.17,1.04,3.12,3.12,3.12,0,0,0,0,8.33,3.12,4.17,1.04,0,8.33,0,6.25,4.17,2.08,0,4.17,13.54,0,12.5,2.08,4.17,7.29,2.08,0,0,0,0,0,3.12,3.12,0,0,0,0,20.83,6.25,4.17,0,0,0,0,3.12,0,7.29,0,0
2pgbi1,20386,84,2.68,2.86,95.13,1,12,16.67,96.43,64.29,26.19,10.71,10.71,0,0,0,0,15.48,1.19,11.9,14.29,5.95,5.95,8.33,29.76,4.76,2.38,4.76,1.19,2.38,7.14,1.19,5.95,4.76,0,1.19,2.38,0,0,0,0,21.43,10.71,1.19,1.19,1.19,7.14,2.38,5.95,1.19,0,4.76,2.38,2.38,0,0,0,5.95,0,1.19,1.19,2.38,2.38,2.38,25,1.19,8.33,1.19,3.57,3.57,0,0,0,0,0,0,0,0,0,0,0,0,17.86,8.33,0,1.19,0,0,0,0,0,8.33,0,0
1qeaem,20406,18,1,28.91,4.97,25.77,6,11.11,94.44,83.33,33.33,22.22,16.67,0,0,5.56,0,11.11,0,11.11,27.78,11.11,5.56,0,33.33,0,0,11.11,0,0,0,0,0,0,0,0,11.11,0,0,0,5.56,11.11,0,5.56,5.56,0,0,0,0,0,0,0,0,0,0,0,0,5.56,5.56,0,5.56,0,0,0,33.33,0,5.56,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,16.67,5.56,0,0,0,11.11,0,0,0,0,0,0
d09h8,20488,92,49.57,97.44,40.55,83.66,23,21.74,97.83,60.87,25,22.83,11.96,0,10.87,0,0,2.17,2.17,18.48,5.43,3.26,7.61,0,17.39,5.43,2.17,0,0,0,13.04,7.61,4.35,2.17,1.09,2.17,23.91,0,2.17,0,0,16.3,2.17,2.17,6.52,4.35,2.17,3.26,6.52,1.09,3.26,2.17,0,0,0,0,0,6.52,1.09,1.09,3.26,1.09,2.17,4.35,11.96,2.17,8.7,0,4.35,4.35,1.09,0,1.09,1.09,0,1.09,0,0,0,0,0,0,18.48,6.52,3.26,0,0,0,0,1.09,2.17,1.09,0,4.35
m1nim,20503,1284,45.4,80.62,9.81,4.47,27.91,13.94,93.93,62.54,20.48,16.12,4.52,2.34,0,9.11,0.16,4.36,6.46,15.73,9.42,4.13,8.18,2.1,18.77,3.89,2.02,0.62,1.17,1.87,5.61,1.64,3.74,0.39,1.25,1.48,17.29,0.86,0.93,9.58,0.55,11.37,1.79,1.01,2.26,2.49,1.64,4.28,2.18,0.62,0.86,0.55,2.26,0.86,1.09,0.08,0.62,9.19,3.58,1.25,2.26,1.64,1.4,5.84,11.06,1.17,14.02,1.79,7.63,5.37,1.09,0.86,1.79,0.39,0.08,0.47,0.39,0.08,0.08,0.08,0,0.08,15.5,4.28,5.53,0.23,0,0.23,0.08,0.47,0.62,1.95,1.79,0.31
39ldzb,20508,117,9.98,5.23,91.04,25.77,11.7,11.11,94.87,57.26,21.37,12.82,11.97,0,0,0,0.85,8.55,3.42,11.11,17.95,4.27,5.98,3.42,27.35,5.98,1.71,0.85,1.71,2.56,10.26,5.13,5.13,0,0.85,1.71,4.27,1.71,0.85,0,0,11.97,2.56,0.85,0,3.42,0.85,4.27,4.27,0.85,0,3.42,11.11,0,10.26,0.85,0,9.4,3.42,1.71,0.85,4.27,0,0.85,21.37,4.27,10.26,0.85,4.27,5.13,0,2.56,1.71,0,0,0.85,0.85,0.85,0,0,0,0,23.93,8.55,4.27,0,0,0,0,0,0,10.26,0,0.85
3a74qp,20508,26,88.28,22.08,38.39,99,8.67,7.69,96.15,57.69,23.08,11.54,7.69,0,3.85,0,0,11.54,3.85,23.08,0,3.85,0,3.85,11.54,3.85,3.85,0,0,3.85,15.38,11.54,3.85,0,0,0,3.85,0,0,0,0,19.23,0,3.85,3.85,3.85,3.85,3.85,3.85,0,0,3.85,3.85,0,3.85,0,0,15.38,0,3.85,7.69,11.54,0,3.85,11.54,0,11.54,0,3.85,7.69,0,0,0,0,0,0,0,0,0,0,0,0,15.38,11.54,0,0,0,0,0,0,0,3.85,0,0
376zeb,20747,360,63.81,19.47,74.76,30.46,22.5,15.56,89.44,54.17,16.39,11.94,10.28,0,0,0.28,1.39,4.44,5,16.39,7.5,3.61,6.39,3.06,15,7.22,5,1.94,1.11,2.5,9.17,4.72,4.44,0.56,1.67,1.11,7.5,0,0.28,0,0.56,10.28,2.5,1.11,0.83,2.5,1.39,2.78,2.22,1.11,0.28,0.83,2.5,0,1.67,0.28,0.56,9.72,0.83,5,3.06,3.06,1.11,1.67,13.89,0,10.56,0.83,7.5,2.22,4.17,1.94,0.28,1.67,0,0.56,0.28,0,0,0,0.28,0,15,5.83,2.5,0.28,0,0,0,1.67,1.11,1.39,1.67,0.56
248ojj,20841,630,18.57,66.59,36.24,14.75,17.03,17.14,93.17,60.48,20.63,13.97,5.24,1.27,0.16,6.35,0.95,6.67,5.71,10.95,12.22,6.83,6.98,3.02,19.05,4.92,2.86,2.22,0.79,2.86,5.87,2.22,3.02,0.63,0,0.48,14.92,1.11,0.16,6.67,0.32,14.29,3.17,2.54,1.27,3.97,0.95,3.81,1.59,0.16,0.95,0.48,0.48,0,0.16,0,0.16,7.94,3.02,1.75,1.43,1.11,1.43,4.6,14.29,0.32,14.29,1.27,6.19,7.14,5.71,0.48,0.32,0.79,0.32,0.16,0,0,0,0,0,0,16.03,5.87,4.29,0,0,0.79,0,0.48,0,2.54,0.63,1.43
e6akz,20908,255,35.02,21.64,82.75,5.16,31.88,16.08,92.94,60.78,18.04,11.76,9.02,0,0.39,0,2.35,6.27,4.71,17.25,12.55,8.63,5.88,2.75,23.92,2.35,1.96,1.57,0,3.53,6.67,2.35,4.31,0,0.78,1.18,7.45,0.39,0,0,0,16.86,3.92,1.18,3.92,3.92,1.96,3.53,1.57,0,0.39,0.78,1.96,0.78,0.78,0,0,5.49,0.78,0.78,1.96,1.18,1.18,3.14,18.04,1.18,14.12,1.57,6.67,5.49,0.39,0.39,0.39,0,1.18,0,0.39,0.39,0,0,0,0,20.78,7.45,3.14,0,0.78,0,0,0,0.39,5.49,0.39,3.14
e7bdu,20908,427,28.22,9.5,94.65,13.17,21.35,13.82,93.21,60.66,19.91,12.65,11.01,0,0.94,0,0.7,7.26,5.85,13.82,11.01,8.67,5.85,2.81,18.97,4.45,3.28,2.34,0.23,3.98,7.49,3.28,4.22,0.47,1.17,0.94,6.56,0.23,0.23,0,0,22.01,6.32,2.34,3.04,6.56,1.64,6.09,1.41,0,0,1.41,1.87,0.47,0.94,0.23,0.23,6.56,0.94,1.17,2.81,1.41,1.41,0.94,14.52,2.81,10.3,1.17,4.92,4.22,1.17,0.47,0.23,0.23,0,0.23,0.94,0.7,0,0,0,0.23,19.44,7.26,5.39,0,0,0.47,0,0.94,0,4.45,0,0.94
e9qm3,20908,674,41.69,17.49,78.9,1.43,25.92,14.84,93.03,61.42,18.84,11.28,9.35,0,0.15,0.59,1.19,7.57,7.27,15.43,10.53,8.16,6.68,1.93,18.4,6.23,3.56,2.08,0.59,3.41,6.68,1.78,4.9,0.74,0.89,1.78,5.19,0.15,0.15,0,0.59,13.95,2.52,1.34,2.52,3.71,2.23,2.97,1.78,0.15,0.3,1.34,2.52,0.59,1.78,0,0.15,5.34,0.59,1.78,2.67,1.19,0.89,1.93,14.54,2.37,14.09,1.48,7.12,5.93,0.89,0.15,0.3,0.15,0.15,0.15,0.45,0.45,0,0,0,0,16.47,5.19,3.71,0,0.74,0.3,0,1.04,0,4.6,0.3,0.59
gn7v3,20908,1481,63.14,31.59,68.97,33.94,25.53,19.45,88.25,54.09,14.79,8.44,6.08,0.14,1.69,0.2,0.34,6.35,6.82,14.72,8.78,5.06,6.62,2.09,14.58,5.67,2.63,1.42,0.95,3.78,7.49,3.92,3.44,0.61,1.35,0.68,6.62,0.14,0.27,0.34,0.14,15.87,3.17,1.96,2.16,5.13,2.43,4.39,1.82,0.81,0.34,0.47,3.65,1.01,1.82,0.41,0.41,4.73,1.01,1.22,2.03,1.08,0.47,1.35,11.28,0.95,12.69,1.35,8.31,3.31,1.28,0.95,0.27,0.54,0.61,0.07,1.15,0.68,0.07,0.07,0.07,0.27,16,5.06,4.59,0.14,0.34,0.14,0,1.01,0.14,3.44,0.81,0.34
gqiw6,20908,1259,57.89,34.55,62.77,47.83,24.69,15.73,89.52,56.08,16.76,10.01,7.47,0.32,1.59,0.48,0.16,6.75,6.35,15.49,8.42,5.96,6.51,1.91,15.97,5.4,2.94,1.11,1.11,3.57,8.5,4.85,3.65,0.32,1.35,1.27,6.59,0.08,0.16,0.4,0.16,13.82,2.86,1.27,2.54,3.34,2.38,2.7,2.46,0.71,0.64,0.95,1.59,0.64,0.71,0.16,0.08,5.32,0.87,0.87,1.83,1.67,0.79,1.75,11.6,2.3,12.95,1.83,7.07,4.45,0.95,0.4,0.48,0.64,0.16,0.4,0.64,0.4,0.08,0.08,0.08,0,15.33,6.59,3.89,0,0.16,0.16,0,0.16,0.16,2.62,0.48,1.11
n3ntx,20908,978,47.81,14.84,81.97,4.26,22.23,17.08,89.06,56.13,17.18,10.12,9.2,0,0.51,0,0.41,7.06,5.73,14.11,9.71,4.7,6.34,3.17,19.12,5.11,1.64,1.84,1.64,2.56,6.54,2.15,4.29,0.41,1.74,1.12,4.09,0,0,0,0,14.52,3.58,1.74,2.56,3.68,2.35,2.66,2.66,0.72,0.51,1.23,2.66,0.61,2.04,0,0,5.83,0.61,1.64,2.56,0.92,0.92,1.84,13.6,2.15,13.6,1.53,6.85,5.62,1.43,0.31,0.41,0.82,0.1,0.1,0.2,0,0,0.2,0,0,15.03,5.83,5.21,0.1,0.31,0,0,0.72,0,2.86,0,0
n74c5,20908,1747,33.84,16.52,79.17,23.1,21.3,14.08,91.93,60.22,19.46,10.76,8.87,0.11,0.17,0.97,0.63,8.7,6.41,13.91,10.3,6.87,6.3,3.72,17.34,4.64,2.46,1.77,0.52,3.72,8.47,4.12,4.29,0.52,1.43,1.14,6.64,0.11,0.29,0.63,0.52,17.8,3.66,1.66,2.35,4.98,3.26,3.61,2.58,0.63,0.74,0.97,1.77,0.52,0.86,0.11,0.17,5.09,0.97,0.92,1.95,0.8,0.86,1.83,12.31,2.06,13.05,1.6,6.41,5.15,0.34,0.86,0.34,0.29,0.34,0.11,0.74,0.46,0,0.17,0.11,0,16.31,6.3,4.87,0,0.63,0.06,0,0.63,0.23,3.49,0,0.11
1fihtb,20908,681,53.61,15.19,59.66,1,28.38,20.85,89.72,57.56,16.89,7.78,6.75,0,0.73,0,0.29,9.1,7.2,14.1,9.4,4.41,6.75,3.08,18.06,3.96,1.62,1.76,0.15,2.06,8.22,2.2,5.87,0.73,3.38,1.17,5.29,0,0.15,0,0,16.45,2.35,1.91,3.23,4.99,2.94,3.82,0.88,0.15,0,0.59,4.26,0.88,1.47,1.62,0.59,4.26,0.15,1.32,1.62,0.73,0.88,2.06,13.36,1.76,12.78,2.5,4.85,5.87,0.59,1.03,0.44,0.59,0.44,0.29,2.64,2.64,0,0,0,0,19.09,5.43,7.78,0,0.29,0.44,0,1.03,0.29,2.94,0,0.88
k56z6,21174,573,65.27,31.89,87.57,1.39,28.65,13.44,95.46,59.34,15.53,10.82,8.73,0.35,0,1.05,0.7,4.71,6.98,17.45,9.42,6.46,6.98,1.05,17.63,6.46,4.01,1.92,1.22,3.66,7.5,2.09,5.24,0.7,2.27,0.52,7.68,2.27,0.35,0.87,1.05,11.87,2.44,1.4,1.22,2.97,1.92,2.27,1.92,0.35,0.35,1.05,2.62,0.7,1.75,0.17,0,8.03,2.27,1.57,2.44,1.4,1.05,7.85,7.33,0.7,16.75,2.09,6.11,9.08,1.4,0.7,0.87,0,0,0.7,1.22,0.7,0.17,0,0.35,0,10.3,3.66,4.36,0,0,0,0,0,0,0.87,0.7,0.7
1rjkpb,21291,91,39.63,11.35,99,84.1,15.17,8.79,93.41,56.04,15.38,14.29,10.99,0,0,3.3,0,1.1,4.4,14.29,13.19,4.4,6.59,3.3,27.47,6.59,5.49,0,4.4,1.1,5.49,4.4,1.1,0,0,0,7.69,2.2,0,4.4,0,16.48,4.4,1.1,2.2,3.3,1.1,5.49,3.3,1.1,0,2.2,1.1,0,1.1,0,0,4.4,1.1,2.2,2.2,1.1,0,6.59,19.78,1.1,23.08,2.2,8.79,10.99,0,1.1,0,1.1,0,1.1,0,0,0,0,0,0,18.68,5.49,6.59,0,0,0,0,0,0,6.59,0,0
35z7ac,21485,17,14.53,27.83,91.95,98.87,8.5,5.88,100,52.94,11.76,5.88,5.88,0,0,0,0,5.88,0,11.76,17.65,11.76,5.88,0,23.53,0,0,5.88,0,0,17.65,11.76,5.88,0,5.88,0,5.88,0,0,0,0,11.76,5.88,0,0,5.88,0,0,5.88,0,5.88,0,11.76,5.88,5.88,0,0,0,0,0,0,0,0,0,29.41,0,17.65,0,5.88,11.76,0,0,0,0,0,5.88,17.65,5.88,0,11.76,0,0,11.76,5.88,0,0,0,5.88,0,0,0,0,0,0
1i423p,21773,194,2.54,6.11,83.33,1,17.64,14.43,97.94,63.4,23.2,15.98,13.4,0,0,1.55,1.03,7.22,3.09,8.25,15.98,6.7,8.25,5.15,25.26,3.61,2.06,1.03,0.52,2.06,10.82,3.09,7.73,1.03,1.03,3.61,9.28,1.03,0.52,1.55,0,14.43,2.58,0.52,1.55,0.52,3.61,5.67,3.61,0,1.03,2.58,2.58,1.03,1.03,0,1.03,10.82,3.09,3.09,5.15,3.61,2.06,3.61,18.56,1.03,8.25,1.03,3.09,5.15,4.12,1.55,1.55,0,0,1.03,0.52,0.52,0,0,0,0,20.62,5.15,7.22,0,0,0,0,0,0,8.25,0,0
2foyas,21773,25,4.68,5.5,69.14,25.77,8.33,12,96,52,28,8,8,0,0,0,0,20,0,4,8,0,4,8,20,12,0,0,0,0,16,8,8,0,0,0,8,0,0,0,0,12,0,0,0,0,4,8,0,0,0,0,4,4,4,0,4,16,0,0,4,8,4,0,20,0,8,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,28,12,12,0,0,0,0,0,0,4,0,0
vox8a,21780,145,19.75,4.25,99,25.77,12.08,17.93,95.86,57.24,18.62,14.48,13.1,0,0,0.69,0.69,4.14,4.14,12.41,8.97,8.97,6.21,6.21,17.93,4.14,0.69,0,2.07,4.14,5.52,2.76,2.76,0.69,0,0.69,8.28,0.69,2.07,1.38,0.69,18.62,2.76,0.69,0,6.21,4.14,6.21,4.14,2.76,0,1.38,1.38,0,1.38,0,0,11.03,3.45,3.45,2.76,2.07,0.69,4.83,12.41,0.69,18.62,2.07,6.21,10.34,2.76,0.69,0.69,0.69,0,0.69,0,0,0,0,0,0,13.1,8.97,0.69,0,0,0,0,0,0,3.45,0,0
1cyvci,21808,93,4.63,3.41,98.66,11.76,9.3,8.6,95.7,63.44,25.81,21.51,20.43,0,0,0,1.08,4.3,4.3,8.6,8.6,10.75,8.6,3.23,21.51,2.15,1.08,1.08,1.08,1.08,3.23,1.08,2.15,0,1.08,1.08,9.68,2.15,0,3.23,0,19.35,6.45,3.23,3.23,0,2.15,4.3,3.23,0,1.08,2.15,2.15,0,2.15,0,0,3.23,0,0,2.15,0,1.08,3.23,17.2,1.08,6.45,1.08,4.3,2.15,2.15,0,1.08,0,0,3.23,1.08,0,0,0,0,0,19.35,10.75,3.23,0,0,0,0,0,0,5.38,0,0
1ffhzh,21909,280,16.87,12.66,97.55,4.28,46.67,13.57,93.93,60,21.79,15.71,12.14,0.71,0.36,1.79,0.71,6.07,5.36,10.71,9.29,6.79,8.21,3.93,22.14,3.57,2.14,0.36,1.43,1.43,7.5,2.14,4.29,0.71,1.43,1.79,9.29,0,0,2.14,0.36,13.57,2.5,1.79,0.71,2.14,1.79,5,3.57,1.07,0.71,1.79,3.21,0.36,1.43,0.36,0.71,7.5,1.79,1.07,2.14,1.79,0.71,5.36,15.36,2.14,15.71,2.5,5,8.21,2.5,0.36,0,0.36,0,0.36,0.71,0.71,0,0,0,0,18.21,3.93,7.5,0,0.71,0,0,0,0,6.07,0,0
30q66h,21999,348,8.57,6.04,94.77,3.63,10.88,14.66,93.68,62.07,24.43,16.38,15.8,0,0,0.29,0.29,8.05,4.31,9.77,12.93,5.17,7.76,3.45,22.99,3.16,1.15,2.01,0.86,2.01,6.32,2.01,4.31,0.86,1.44,0.86,6.9,0,1.15,0.29,0,14.08,2.01,2.3,2.59,2.59,2.87,2.59,1.15,0,0.57,0.57,3.16,0.57,2.01,0.57,0,7.18,2.87,1.44,2.3,0.86,0.57,5.46,14.37,3.45,13.22,2.59,4.89,5.75,3.45,0.29,0.29,1.15,0,0.29,1.72,0.57,0.29,0.57,0.29,0,22.41,12.07,4.89,0,0,0,0,0,0,4.89,0,0.57
36u3v3,21999,291,40.94,18.58,96.58,1,17.12,14.09,96.91,56.36,19.24,15.46,12.37,0,0,1.03,2.06,3.78,4.81,13.06,7.9,5.84,6.87,1.72,18.56,5.15,2.41,0,1.03,2.41,7.56,1.72,5.84,0.34,2.75,1.03,10.65,2.75,0.34,1.37,0.34,9.97,1.72,1.37,1.03,1.37,0.69,4.47,1.37,0,0.69,0.69,3.44,1.72,1.03,0,0.69,9.62,3.78,1.03,0.69,3.09,1.72,7.56,6.87,1.37,15.46,2.41,5.5,7.56,5.15,2.06,2.06,1.37,0,1.03,1.03,1.03,0,0,0,0,13.4,6.87,5.15,0,0,0,0,0,0,0.34,0.69,0.34
16v23t,28071,868,27.67,14.98,87.42,44.78,22.84,13.13,94.24,61.98,21.66,13.94,12.21,0,0.92,0.23,0.58,7.72,4.95,14.17,8.06,6.34,9.56,2.3,18.89,3.69,2.19,1.5,1.15,1.5,6.68,3.8,2.76,0.46,0.92,0.81,8.18,1.38,0.35,0.12,0.58,18.09,4.38,1.61,3.69,4.84,1.84,4.49,3.46,1.27,0.92,1.27,2.88,0.69,1.38,0.12,0.23,6.11,2.3,1.04,1.84,0.81,0.81,2.76,14.4,1.04,10.71,1.61,6.11,2.88,0.92,2.53,0.92,0.12,0.46,0.69,0.46,0.46,0,0,0,0,12.79,5.3,5.18,0,0,0.12,0,0.12,0,0,1.15,0.92
1kgmp4,28252,92,10.53,1,99,11.64,10.22,4.35,94.57,67.39,22.83,15.22,15.22,0,0,0,0,7.61,3.26,15.22,14.13,8.7,3.26,7.61,28.26,2.17,3.26,4.35,2.17,2.17,1.09,0,1.09,0,0,0,2.17,0,0,0,0,19.57,6.52,3.26,2.17,2.17,1.09,5.43,2.17,1.09,0,1.09,2.17,0,1.09,0,1.09,2.17,0,0,0,1.09,1.09,2.17,26.09,2.17,15.22,4.35,9.78,2.17,1.09,0,0,0,0,1.09,0,0,0,0,0,0,23.91,8.7,3.26,0,0,1.09,0,1.09,0,9.78,0,0
2bttpq,28380,33,1,1,98.01,80.64,11,0,96.97,69.7,21.21,12.12,12.12,0,0,0,0,9.09,3.03,6.06,18.18,21.21,6.06,6.06,27.27,0,0,3.03,0,3.03,9.09,6.06,3.03,0,0,0,3.03,0,0,0,0,24.24,3.03,3.03,0,6.06,3.03,9.09,3.03,0,3.03,0,0,0,0,0,0,3.03,0,0,0,0,3.03,3.03,18.18,0,9.09,0,3.03,6.06,0,0,0,0,0,0,6.06,0,3.03,0,3.03,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0
1490wh,28703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
